Date,Open,High,Low,Close,Adj Close,Volume
2019-02-27,5740.8800784,5740.8800784,5686.0800784,5705.760156,5705.760156,435361000
2019-02-28,5705.760156,5705.760156,5652.8,5679.760156,5679.760156,489808000
2019-03-01,5679.760156,5723.760156,5679.760156,5705.360156,5705.360156,350413000
2019-03-04,5705.360156,5752.960156,5705.360156,5727.5199216,5727.5199216,317349000
2019-03-05,5727.5199216,5773.360156,5721.760156,5766.7199216,5766.7199216,397646000
2019-03-06,5766.7199216,5789.439844,5756.239844,5776.8,5776.8,395990000
2019-03-07,5776.8,5776.8,5721.2800784,5746.0800784,5746.0800784,345659000
2019-03-08,5746.0800784,5746.0800784,5682.3199216,5703.439844,5703.439844,311051000
2019-03-11,5703.439844,5765.2800784,5703.439844,5724.4800784,5724.4800784,337143000
2019-03-12,5724.4800784,5753.2800784,5686.560156,5740.960156,5740.960156,376017000
2019-03-13,5740.960156,5765.5199216,5722.960156,5747.360156,5747.360156,372314000
2019-03-14,5747.360156,5792.4,5738.4800784,5768.3199216,5768.3199216,395630000
2019-03-15,5768.3199216,5815.039844,5768.3199216,5802.639844,5802.639844,667855000
2019-03-18,5802.639844,5859.360156,5802.560156,5859.360156,5859.360156,321494000
2019-03-19,5859.360156,5900.0800784,5855.6,5879.2,5879.2,299452000
2019-03-20,5879.2,5893.2800784,5852.8,5852.8,5852.8,374426000
2019-03-21,5852.8,5916.4800784,5852.4800784,5904.239844,5904.239844,354715000
2019-03-22,5904.239844,5905.1199216,5774.239844,5786.0800784,5786.0800784,347384000
2019-03-25,5786.0800784,5786.4800784,5737.439844,5762.0800784,5762.0800784,293085000
2019-03-26,5762.0800784,5796.8,5755.5199216,5777.039844,5777.039844,314803000
2019-03-27,5777.039844,5798.0800784,5748.0800784,5775.360156,5775.360156,339371000
2019-03-28,5775.360156,5832.4,5772.7199216,5807.439844,5807.439844,284022000
2019-03-29,5807.439844,5850.160156,5798.639844,5843.360156,5843.360156,397200000
2019-04-01,5843.360156,5901.760156,5843.360156,5873.9199216,5873.9199216,348503000
2019-04-02,5873.9199216,5942.8800784,5873.439844,5932.8800784,5932.8800784,360421000
2019-04-03,5932.8800784,5954.639844,5924.7199216,5954.639844,5954.639844,440385000
2019-04-04,5954.639844,5954.7199216,5913.9199216,5941.5199216,5941.5199216,337835000
2019-04-05,5941.5199216,5989.1199216,5940.639844,5977.5199216,5977.5199216,339980000
2019-04-08,5977.5199216,5987.9199216,5956.3199216,5981.5199216,5981.5199216,285690000
2019-04-09,5981.5199216,6002.0800784,5950.639844,5960.4800784,5960.4800784,326149000
2019-04-10,5960.4800784,5973.1199216,5947.5199216,5957.5199216,5957.5199216,284873000
2019-04-11,5957.5199216,5973.5199216,5926.8,5954.4,5954.4,314801000
2019-04-12,5954.4,5983.839844,5952,5969.6800784,5969.6800784,348448000
2019-04-15,5969.6800784,5977.6800784,5956.239844,5969.5199216,5969.5199216,255802000
2019-04-16,5969.5199216,6008.7199216,5969.5199216,5995.9199216,5995.9199216,311904000
2019-04-17,5995.9199216,6003.2,5976.0800784,5997.039844,5997.039844,323163000
